Plant,Material,Description,Unrestr.Stock,UOM,Open Cust Ord,Total Open Delv,Open Prod Ord,Open Purch Ord,Open STO,In Transit,Net Available,Current Tons,Safety Stock,Max Stock Lvl,Planning Material,Restric Stock,Blocked Stock,In Qual.Insp (Restr.),Material Group,Outer Diameter,Plant Name,Wall Thickness,City,State,Country,Pincode,Full Location,Material Type,Weekly Forecast,Days of Supply Available,Organisation,Sub Category,Material Category,Column1,,,,,,,,,,,
4180,07066,2      ELBOW RIGID 45 DEG 36  RAD,0.000,TON,0.000,0.000,0.000,0.000,0.000,0.007,0.007,0.007,0.000,0.000,,0.000,0.000,0.000,59,2.375,"Electrical Lines, Inc",0.0000,Aurora,CO,USA,80012,"Aurora, CO, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,4180070662      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
2910,07066,2      ELBOW RIGID 45 DEG 36  RAD,0.104,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.104,0.028,0.000,,0.000,0.000,0.000,59,2.375,Mountain House Warehouse,0.0000,Mountain House,CA,USA,95391,"Mountain House, CA, USA",Elbow Blanks,0.03,0.00,Zekelman Warehouse,Elbow Blanks,,2910070662      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
3130,07067,2 1/2  ELBOW RIGID 45 DEG 36  RAD,0.016,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.016,0.000,0.000,,0.000,0.000,0.000,59,2.875,Carter York Agency,0.0000,Charlotte,NC,USA,28202,"Charlotte, NC, USA",Elbow Blanks,0.00,0.00,Wheatland,Elbow Blanks,,3130070672 1/2  ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
1600,07067,2 1/2  ELBOW RIGID 45 DEG 36  RAD,0.032,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.032,0.000,0.000,,0.000,0.000,0.000,59,2.875,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600070672 1/2  ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
1600,07068,3      ELBOW RIGID 45 DEG 36  RAD,0.806,TON,0.000,0.195,0.000,0.000,0.000,0.000,0.611,0.611,0.741,0.000,,0.000,0.000,0.000,59,3.500,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.74,0.11,Manufacturing Plants,Elbow Blanks,,1600070683      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
3440,07068,3      ELBOW RIGID 45 DEG 36  RAD,0.000,TON,0.000,0.000,0.000,0.000,0.000,0.650,0.650,0.650,0.091,0.000,,0.000,0.000,0.000,59,3.500,Robert A. Amey Co.,0.0000,Portland,OR,USA,97201,"Portland, OR, USA",Elbow Blanks,0.09,0.01,Wheatland,Elbow Blanks,,3440070683      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
2900,07068,3      ELBOW RIGID 45 DEG 36  RAD,0.988,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.988,0.988,0.442,0.000,,0.000,0.000,0.000,59,3.500,Auburn Warehouse,0.0000,Auburn,WA,USA,98002,"Auburn, WA, USA",Elbow Blanks,0.44,0.06,Zekelman Warehouse,Elbow Blanks,,2900070683      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
1600,07069,3 1/2  ELBOW RIGID 45 DEG 36  RAD,0.074,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.074,0.074,0.000,0.000,,0.000,0.000,0.000,59,4.000,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,0.00,0.00,Manufacturing Plants,Elbow Blanks,,1600070693 1/2  ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
2910,07070,4      ELBOW RIGID 45 DEG 36  RAD,0.079,TON,0.000,0.000,0.000,0.000,0.000,0.000,0.079,0.079,0.059,0.000,,0.000,0.000,0.000,59,4.500,Mountain House Warehouse,0.0000,Mountain House,CA,USA,95391,"Mountain House, CA, USA",Elbow Blanks,0.06,0.01,Zekelman Warehouse,Elbow Blanks,,2910070704      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
1600,07070,4      ELBOW RIGID 45 DEG 36  RAD,0.335,TON,0.039,1.694,2.955,0.000,0.000,0.000,1.557,-1.398,3.861,0.000,,0.000,0.000,0.000,59,4.500,Cambridge,0.0000,Cambridge,OH,USA,72315,"Cambridge, OH, USA",Elbow Blanks,3.86,0.55,Manufacturing Plants,Elbow Blanks,,1600070704      ELBOW RIGID 45 DEG 36  RAD,,,,,,,,,,,
